553145	20611	udance.maxqs	10	1
66749	20606	udance.maxqs	10	100
3839738	21614	udance.maxqs	1280	1
1233645	21593	udance.maxqs	1280	100
2312365	20728	udance.maxqs	160	1
427487	20729	udance.maxqs	160	100
667936	20631	udance.maxqs	20	1
86322	20619	udance.maxqs	20	100
3287059	20850	udance.maxqs	320	1
678640	20867	udance.maxqs	320	100
717217	20647	udance.maxqs	40	1
97133	20637	udance.maxqs	40	100
178679	20602	udance.maxqs	5	1
31315	20580	udance.maxqs	5	100
3691697	21127	udance.maxqs	640	1
937945	21111	udance.maxqs	640	100
1473954	20680	udance.maxqs	80	1
226722	20665	udance.maxqs	80	100
553145	20611	udance.incremental	10	1
66749	20606	udance.incremental	10	100
3839738	21614	udance.incremental	1280	1
1233645	21593	udance.incremental	1280	100
2312365	20728	udance.incremental	160	1
427487	20729	udance.incremental	160	100
667936	20631	udance.incremental	20	1
86322	20619	udance.incremental	20	100
3287059	20850	udance.incremental	320	1
678640	20867	udance.incremental	320	100
717217	20647	udance.incremental	40	1
97133	20637	udance.incremental	40	100
178679	20602	udance.incremental	5	1
31315	20580	udance.incremental	5	100
3691697	21127	udance.incremental	640	1
937945	21111	udance.incremental	640	100
1473954	20680	udance.incremental	80	1
226722	20665	udance.incremental	80	100
18242	20611	APPLES2	10	1
17752	20606	APPLES2	10	100
39676	21614	APPLES2	1280	1
37996	21593	APPLES2	1280	100
20650	20728	APPLES2	160	1
20034	20729	APPLES2	160	100
17822	20631	APPLES2	20	1
17822	20619	APPLES2	20	100
22526	20850	APPLES2	320	1
22722	20867	APPLES2	320	100
19138	20647	APPLES2	40	1
18144	20637	APPLES2	40	100
16632	20602	APPLES2	5	1
17696	20580	APPLES2	5	100
29442	21127	APPLES2	640	1
28210	21111	APPLES2	640	100
20034	20680	APPLES2	80	1
18844	20665	APPLES2	80	100
