mc-1	03	0	100	.0378	.0275	.0653
mc-1	02	0	100	.0592	.0658	.0757
mc-1	04	0	100	.027	.0377	.0404
mc-1	07	0	100	.058	.0942	.087
mc-1	01	0	100	.0501	.039	.0696
mc-1	05	0	100	.0505	.0611	.0674
mc-1	06	0	100	.0467	.0407	.0691
mc-1	10	0	100	.0703	.0658	.0998
mc-1	08	0	100	.0571	.0505	.0637
mc-1	09	0	100	.0176	.0264	.0463
mc-1	03	1	100	.0405	.0202	.0809
mc-1	04	1	100	.0466	.0488	.0687
mc-1	02	1	100	.042	.0483	.0672
mc-1	07	1	100	.0844	.0719	.0719
mc-1	05	1	100	.0348	.0557	.0418
mc-1	01	1	100	.0341	.0366	.061
mc-1	06	1	100	.0294	.0357	.0756
mc-1	10	1	100	.0524	.0576	.0916
mc-1	09	1	100	.0335	.0307	.0559
mc-1	08	1	100	.0311	.0311	.0556
mc-1	03	10	100	.0301	.0324	.0671
mc-1	04	10	100	.0441	.0468	.0744
mc-1	02	10	100	.0479	.0479	.0854
mc-1	07	10	100	.0661	.0826	.095
mc-1	05	10	100	.0356	.0379	.0713
mc-1	01	10	100	.0439	.0351	.0746
mc-1	06	10	100	.0336	.036	.0671
mc-1	09	10	100	.0237	.0237	.0388
mc-1	10	10	100	.0449	.0528	.0765
mc-1	08	10	100	.0365	.0426	.0669
mc-1	06	11	100	.05	.0289	.0684
mc-1	05	11	100	.031	.031	.0588
mc-1	03	11	100	.0446	.0312	.0737
mc-1	01	11	100	.0359	.0261	.0752
mc-1	04	11	100	.0479	.0697	.0675
mc-1	02	11	100	.0487	.0516	.0688
mc-1	07	11	100	.0594	.0764	.0658
mc-1	08	11	100	.0464	.0437	.0683
mc-1	10	11	100	.0686	.0844	.0923
mc-1	09	11	100	.0406	.0427	.0641
mc-1	05	12	100	.0315	.0287	.043
mc-1	03	12	100	.0488	.0531	.0701
mc-1	06	12	100	.0444	.0422	.0733
mc-1	07	12	100	.0774	.071	.0806
mc-1	01	12	100	.0371	.0328	.0721
mc-1	10	12	100	.035	.0292	.07
mc-1	04	12	100	.0367	.0571	.0571
mc-1	09	12	100	.0296	.0272	.0617
mc-1	02	12	100	.049	.0449	.0918
mc-1	08	12	100	.0448	.0468	.0916
mc-1	05	13	100	.0407	.0378	.061
mc-1	10	13	100	.0813	.0848	.1237
mc-1	06	13	100	.0362	.0339	.0701
mc-1	01	13	100	.05	.0526	.0789
mc-1	04	13	100	.0402	.0697	.0804
mc-1	07	13	100	.0751	.0687	.0687
mc-1	03	13	100	.0502	.0568	.0786
mc-1	08	13	100	.024	.0359	.0778
mc-1	09	13	100	.0416	.039	.0468
mc-1	02	13	100	.0457	.0437	.0707
mc-1	10	14	100	.0576	.0677	.0977
mc-1	05	14	100	.0426	.0365	.0629
mc-1	03	14	100	.0547	.0495	.0729
mc-1	04	14	100	.044	.0535	.0472
mc-1	07	14	100	.0577	.0852	.0879
mc-1	01	14	100	.0423	.0443	.0765
mc-1	06	14	100	.0441	.0501	.0782
mc-1	02	14	100	.0417	.05	.075
mc-1	09	14	100	.0462	.0462	.0489
mc-1	08	14	100	.0444	.0423	.0655
mc-1	05	15	100	.0425	.0425	.0684
mc-1	03	15	100	.0503	.0355	.0858
mc-1	10	15	100	.0781	.0479	.0856
mc-1	02	15	100	.0572	.0438	.0808
mc-1	04	15	100	.0336	.038	.0694
mc-1	07	15	100	.0694	.0759	.0846
mc-1	06	15	100	.0573	.0701	.0892
mc-1	01	15	100	.0608	.0541	.0766
