.4198	0.5_0.5	5.5	01	028
.4909	0.5_0.5	5.5	01	001
.4448	0.5_0.5	5.5	01	029
.486	0.5_0.5	5.5	01	014
.5158	0.5_0.5	5.5	01	005
.5323	0.5_0.5	5.5	01	002
.5225	0.5_0.5	5.5	01	024
.558	0.5_0.5	5.5	01	030
.5423	0.5_0.5	5.5	01	004
.5564	0.5_0.5	5.5	01	032
.5419	0.5_0.5	5.5	01	010
.547	0.5_0.5	5.5	01	015
.5434	0.5_0.5	5.5	01	031
.5397	0.5_0.5	5.5	01	011
.5445	0.5_0.5	5.5	01	017
.5596	0.5_0.5	5.5	01	008
.5672	0.5_0.5	5.5	01	023
.5933	0.5_0.5	5.5	01	019
.6217	0.5_0.5	5.5	01	021
.5897	0.5_0.5	5.5	01	026
.5568	0.5_0.5	5.5	01	022
.5818	0.5_0.5	5.5	01	013
.6037	0.5_0.5	5.5	01	012
.6069	0.5_0.5	5.5	01	003
.5934	0.5_0.5	5.5	01	016
.6811	0.5_0.5	5.5	01	009
.6244	0.5_0.5	5.5	01	018
.5818	0.5_0.5	5.5	01	006
.6301	0.5_0.5	5.5	01	020
.677	0.5_0.5	5.5	01	025
.7563	0.5_0.5	5.5	01	007
.7731	0.5_0.5	5.5	01	027
.4685	0.5_0.5	5.5	01	037
.5125	0.5_0.5	5.5	01	034
.5267	0.5_0.5	5.5	01	036
.4704	0.5_0.5	5.5	01	043
.5241	0.5_0.5	5.5	01	040
.6313	0.5_0.5	5.5	01	033
.5482	0.5_0.5	5.5	01	039
.4773	0.5_0.5	5.5	01	052
.503	0.5_0.5	5.5	01	051
.6473	0.5_0.5	5.5	01	035
.4848	0.5_0.5	5.5	01	055
.5398	0.5_0.5	5.5	01	054
.5424	0.5_0.5	5.5	01	042
.5425	0.5_0.5	5.5	01	048
.505	0.5_0.5	5.5	01	053
.5537	0.5_0.5	5.5	01	044
.5317	0.5_0.5	5.5	01	049
.5687	0.5_0.5	5.5	01	045
.5041	0.5_0.5	5.5	01	058
.5883	0.5_0.5	5.5	01	046
.6483	0.5_0.5	5.5	01	041
.5213	0.5_0.5	5.5	01	061
.6761	0.5_0.5	5.5	01	038
.6323	0.5_0.5	5.5	01	047
.5539	0.5_0.5	5.5	01	062
.648	0.5_0.5	5.5	01	056
.5047	0.5_0.5	5.5	01	063
.6773	0.5_0.5	5.5	01	057
.6467	0.5_0.5	5.5	01	060
.6493	0.5_0.5	5.5	01	059
.7326	0.5_0.5	5.5	01	050
.6475	0.5_0.5	5.5	01	064
.4939	0.5_0.5	5.5	01	065
.4797	0.5_0.5	5.5	01	067
.4558	0.5_0.5	5.5	01	068
.5934	0.5_0.5	5.5	01	066
.6088	0.5_0.5	5.5	01	069
.4901	0.5_0.5	5.5	01	083
.4891	0.5_0.5	5.5	01	085
.5778	0.5_0.5	5.5	01	072
.5228	0.5_0.5	5.5	01	078
.593	0.5_0.5	5.5	01	071
.5612	0.5_0.5	5.5	01	081
.5463	0.5_0.5	5.5	01	084
.6228	0.5_0.5	5.5	01	073
.6183	0.5_0.5	5.5	01	077
.606	0.5_0.5	5.5	01	074
.5097	0.5_0.5	5.5	01	086
.6642	0.5_0.5	5.5	01	070
