0	G000018265	THIRD
0	G000016425	THIRD
13	G000023465	THIRD
16	G000025605	THIRD
9	G000010645	THIRD
3	G000015025	THIRD
11	G000015645	THIRD
1	G000023985	THIRD
16	G000016345	THIRD
0	G000007925	THIRD
10	G000025005	THIRD
6	G000025625	THIRD
0	G000011565	THIRD
0	G000008745	THIRD
1	G000024665	THIRD
5	G000019525	THIRD
16	G000010565	THIRD
3	G000022325	THIRD
7	G000023945	THIRD
2	G000014425	THIRD
10	G000024165	THIRD
7	G000014285	THIRD
0	G000017685	THIRD
1	G000011905	THIRD
2	G000015805	THIRD
0	G000008265	THIRD
0	G000024545	THIRD
7	G000017465	THIRD
3	G000152065	THIRD
14	G000143165	THIRD
1	G000156055	THIRD
21	G000160115	THIRD
1	G000168775	THIRD
2	G000158075	THIRD
0	G000158935	THIRD
0	G000168715	THIRD
11	G000152805	THIRD
11	G000165795	THIRD
15	G000171775	THIRD
1	G000026125	THIRD
0	G000154285	THIRD
0	G000154305	THIRD
0	G000177615	THIRD
23	G000153725	THIRD
6	G000153885	THIRD
0	G000180175	THIRD
0	G000153345	THIRD
0	G000168295	THIRD
2	G000055785	THIRD
6	G000175575	THIRD
11	G000169175	THIRD
0	G000155875	THIRD
0	G000147835	THIRD
7	G000176855	THIRD
5	G000178835	THIRD
1	G000169335	THIRD
0	G000228205	THIRD
1	G000183725	THIRD
10	G000219175	THIRD
0	G000180455	THIRD
6	G000220625	THIRD
1	G000234805	THIRD
4	G000242095	THIRD
20	G000227505	THIRD
0	G000237805	THIRD
14	G000196355	THIRD
6	G000190575	THIRD
16	G000231445	THIRD
0	G000238395	THIRD
0	G000214335	THIRD
2	G000255295	THIRD
12	G000253295	THIRD
16	G000255555	THIRD
6	G000213935	THIRD
15	G000245015	THIRD
0	G000191925	THIRD
0	G000241465	THIRD
20	G000188195	THIRD
3	G000192985	THIRD
1	G000240505	THIRD
0	G000243815	THIRD
0	G000244975	THIRD
0	G000227665	THIRD
0	G000225525	THIRD
2	G000321165	THIRD
9	G000324305	THIRD
8	G000284255	THIRD
2	G000308395	THIRD
13	G000337475	THIRD
5	G000323565	THIRD
10	G000282995	THIRD
2	G000285795	THIRD
1	G000298375	THIRD
0	G000324985	THIRD
1	G000304715	THIRD
0	G000312405	THIRD
1	G000334455	THIRD
4	G000312565	THIRD
0	G000297875	THIRD
1	G000286115	THIRD
4	G000331005	THIRD
2	G000317995	THIRD
8	G000317795	THIRD
0	G000299355	THIRD
7	G000333455	THIRD
1	G000285555	THIRD
0	G000332155	THIRD
4	G000258425	THIRD
1	G000320345	THIRD
1	G000317245	THIRD
4	G000332255	THIRD
24	G000325745	THIRD
2	G000347835	THIRD
0	G000377785	THIRD
0	G000342725	THIRD
16	G000340825	THIRD
0	G000380565	THIRD
6	G000402355	THIRD
1	G000350605	THIRD
0	G000385135	THIRD
0	G000372465	THIRD
2	G000350525	THIRD
1	G000378485	THIRD
10	G000383835	THIRD
8	G000378085	THIRD
3	G000374145	THIRD
0	G000374585	THIRD
9	G000372285	THIRD
4	G000375545	THIRD
14	G000403455	THIRD
0	G000374545	THIRD
0	G000381525	THIRD
4	G000407605	THIRD
2	G000349545	THIRD
0	G000369145	THIRD
1	G000383315	THIRD
0	G000406785	THIRD
14	G000403475	THIRD
2	G000384935	THIRD
1	G000409815	THIRD
4	G000411375	THIRD
0	G000410435	THIRD
2	G000418515	THIRD
1	G000421605	THIRD
0	G000413035	THIRD
22	G000416315	THIRD
0	G000420205	THIRD
0	G000415145	THIRD
3	G000421625	THIRD
0	G000423165	THIRD
0	G000422785	THIRD
2	G000427665	THIRD
10	G000424545	THIRD
7	G000422205	THIRD
0	G000431695	THIRD
1	G000423025	THIRD
17	G000429305	THIRD
5	G000429325	THIRD
0	G000433955	THIRD
1	G000424445	THIRD
6	G000423745	THIRD
14	G000429785	THIRD
1	G000431175	THIRD
14	G000431355	THIRD
13	G000426305	THIRD
0	G000435995	THIRD
19	G000433415	THIRD
0	G000436855	THIRD
0	G000436895	THIRD
7	G000444605	THIRD
5	G000438455	THIRD
5	G000466165	THIRD
0	G000463075	THIRD
16	G000472605	THIRD
4	G000478845	THIRD
12	G000478645	THIRD
2	G000482805	THIRD
0	G000480315	THIRD
18	G000512235	THIRD
17	G000525675	THIRD
14	G000518205	THIRD
0	G000518245	THIRD
16	G000526255	THIRD
1	G000495505	THIRD
3	G000495495	THIRD
8	G000496175	THIRD
16	G000512735	THIRD
11	G000517565	THIRD
0	G000500065	THIRD
8	G000517625	THIRD
3	G000518805	THIRD
6	G000518685	THIRD
5	G000526675	THIRD
2	G000501615	THIRD
9	G000518365	THIRD
0	G000531125	THIRD
5	G000550765	THIRD
0	G000576575	THIRD
1	G000576045	THIRD
0	G000621325	THIRD
7	G000620045	THIRD
0	G000619845	THIRD
0	G000612445	THIRD
6	G000621125	THIRD
6	G000621665	THIRD
1	G000710465	THIRD
1	G000691725	THIRD
