Len1	Boot1	Len2	Boot2
0.0387009289	N435	0.0387636637	N327
0.4482045269	N418	0.5216620516	N338
0.1570317471	N415	0.0970915662	N350
0.0478257059	N414	0.0503123932	N349
0.0544400667	N401	0.0660229239	N341
0.07704341	N400	0.0734358451	N340
0.21463149	N411	0.1783913536	N348
0.0455905448	N410	0.0543670214	N347
0.019361973	N409	0.0255975387	N346
1e-06	N408	2.7035e-06	N345
0.0024883661	N406	0.0126423739	N343
0.0020589634	N407	0.0057539123	N344
0.0486381689	N404	0.048198158	N342
0.1621239503	N396	0.1987372332	N339
0.0743039832	N894	0.0371325958	N663
0.0711376588	N893	0.0616206932	N662
0.0815372933	N748	0.0585176618	N661
0.0548165875	N723	0.0549375861	N660
0.2965021697	N619	0.3226499943	N570
0.083291533	N577	0.074607449	N543
0.2297914909	N576	0.3166019078	N542
0.1079136135	N575	0.1560946457	N541
0.0555059231	N618	0.043419999	N569
0.0537684194	N617	0.0676784216	N568
0.0666609746	N586	0.0569218399	N549
0.0619150696	N585	0.0647106041	N548
0.0778026109	N584	0.0772896334	N547
0.0570627669	N583	0.0472148499	N546
0.1750977451	N582	0.2177686405	N545
0.052187718	N616	0.0376167069	N567
0.0501550594	N595	0.0669179308	N552
0.049893923199999995	N594	0.0278919931	N551
0.1076588623	N593	0.150200171	N550
0.0483704726	N615	0.047048889	N566
0.1674449984	N597	0.1825168959	N553
0.2067099054	N612	0.2407768621	N565
0.022872383	N603	0.0194385535	N557
0.037769218	N602	0.0504087149	N556
0.0310356014	N600	0.0440737449	N554
0.0645613309	N601	0.1171767434	N555
0.0248787133	N611	0.0287672071	N564
0.021315319	N610	0.0246977591	N563
0.0586900052	N606	0.1160919492	N559
0.0362013904	N609	0.0353869807	N562
0.0226708142	N608	0.0245989221	N561
0.0185579505	N607	0.021062376	N560
0.0943763153	N604	0.0943917021	N558
0.3699133673	N579	0.4561205775	N544
0.1314972853	N721	0.0315576295	N659
0.107438012	N719	0.0369096042	N658
0.3265001015	N626	0.4116848992	N573
0.0930258305	N625	0.1245389831	N572
0.0614361272	N718	0.0641708189	N657
0.1982051879	N629	0.2760730729	N576
0.2893750065	N628	0.3674905601	N575
0.0023796	N627	0.0061178793	N574
0.0518408936	N717	0.0236932956	N656
0.2092444933	N638	0.3106100123	N583
0.0762915844	N632	0.0669043614	N579
0.249280245	N630	0.2839734576	N577
0.1666979289	N637	0.2133703611	N582
0.0919615893	N635	0.1028275972	N581
0.0765725195	N633	0.0713140909	N580
0.1217961588	N715	0.0837174169	N655
0.1421145047	N713	0.151238384	N654
0.051006142	N667	0.0675210845	N603
0.0461551482	N650	0.0580106145	N585
0.0434515396	N666	0.0441815861	N602
0.052853530800000006	N656	0.081686972	N591
0.1462741157	N651	0.186429509	N586
0.0615765524	N655	0.0749363078	N590
0.0539593255	N652	0.0633095835	N587
0.0811140409	N654	0.1040393446	N589
0.0401089075	N653	0.0549364574	N588
0.0575477216	N665	0.0524188029	N601
0.1016301853	N659	0.1241135402	N594
0.0467891866	N658	0.059417753	N593
0.0221994581	N657	0.0257843539	N592
0.2129578868	N664	0.2725839422	N600
0.0167028883	N663	0.0120037319	N599
0.0130737259	N662	0.0066579746	N598
0.0172767819	N661	0.0348100275	N597
0.0044323023	N660	0.0241856364	N596
0.2109787155	N711	0.2221896419	N653
0.0539273642	N710	0.0774402463	N652
0.0233989619	N683	0.0177604801	N618
0.0259506593	N682	0.039955418	N617
0.0259617332	N681	0.0516164916	N616
0.0132320677	N680	0.0263562998	N615
0.0173677986	N674	0.04851135	N608
0.0118887031	N679	0.027141918	N614
0.0152396931	N675	0.0502553563	N609
0.0151493986	N678	0.0295813267	N613
1e-06	N677	0.0070631353	N612
0.0023605237	N676	0.0032266766	N611
0.0479752847	N672	0.0764846329	N607
0.0239274285	N671	0.049504009	N606
1e-06	N670	0.0017440146	N605
1e-06	N669	0.0109078038	N604
0.026690640100000003	N709	0.0344074984	N651
0.0159739013	N690	0.0278010217	N625
0.0187990643	N686	0.0327043019	N621
0.0279335941	N684	0.0608167609	N620
0.0259647	N689	0.0478878339	N624
0.0211663358	N688	0.0391797197	N623
0.0028724696	N687	0.0065771807	N622
0.0195400271	N708	0.0232804625	N650
0.0369891237	N707	0.0748700204	N649
0.0020630362	N706	0.0097228936	N648
0.0029858501	N705	0.0029976456	N647
2e-06	N704	0.0001230222	N646
0.0037778835	N703	0.0001613704	N645
2e-06	N695	0.0003110512	N632
2e-06	N692	0.0002339466	N627
2e-06	N694	0.0003752218	N631
1e-06	N693	0.0005317646	N630
0.0025420846	N702	0.0012189511	N644
0.0020307063	N701	0.0015039402	N643
2e-06	N700	2.8357e-06	N642
1e-06	N699	2.3573e-06	N641
0.0028754765	N696	0.0009101519	N635
0.0024010266999999995	N698	0.0014824843	N638
0.0029230495000000002	N697	0.0018816044	N637
0.300300924	N645	0.3039470718	N584
0.3617332638	N621	0.4681885714	N571
0.1384775613	N747	0.1303820205	N539
0.3648995856	N724	0.5344829325	N518
0.1617840855	N746	0.142773815	N538
0.0455002441	N745	0.1992809402	N537
0.0461292112	N735	0.0200498559	N536
0.0366020627	N727	0.0638520048	N529
0.0633381342	N726	0.0711392032	N528
0.116520831	N725	0.1436148803	N527
0.0876384908	N733	0.1040269176	N534
0.0771188445	N732	0.0761846939	N533
0.0836577548	N731	0.1413424115	N532
0.0014985516	N729	0.0058449898	N530
0.0019125175	N730	0.009856435	N531
0.0363572439	N744	0.0285099784	N526
0.0841077816	N740	0.1211421037	N525
0.04997482	N739	0.043842177	N524
0.0397414814	N738	0.0272104274	N523
0.0507249081	N737	0.0513093635	N522
0.12630088439999998	N736	0.1860626855	N521
0.0286016225	N743	0.0752413313	N520
0.2360315031	N742	0.3301055362	N519
0.5522693446	N890	0.6017193231	N516
0.0361150871	N754	0.0423107938	N417
0.073473486	N749	0.1519575313	N413
0.0512496451	N753	0.0300422528	N416
0.0679863352	N752	0.0844305032	N415
0.0354711752	N751	0.0351798244	N414
0.0332614251	N889	0.0404144626	N515
0.0306595823	N888	0.0229747879	N514
0.0309125873	N843	0.0255221139	N481
0.0303224828	N842	0.0264672763	N480
0.031921787	N841	0.0321064022	N479
0.0346877066	N837	0.0306491789	N476
0.0367731628	N836	0.072895192	N475
0.1208295298	N834	0.1682823571	N474
0.0155682404	N833	0.0150885813	N473
0.0131305223	N832	0.0261024235	N472
0.0805130794	N829	0.0747904701	N469
0.0784388134	N827	0.034849605	N468
0.038570819	N826	0.0447902357	N467
0.1430483293	N822	0.1768084694	N470
0.1505996904	N819	0.1500727345	N466
0.164513568	N815	0.1635422763	N465
0.0656848167	N811	0.0859803505	N461
0.0264412503	N810	0.0237950724	N460
0.0390852456	N814	0.0387748181	N464
0.0573173394	N813	0.0724007888	N463
0.0394898684	N812	0.0506682751	N462
0.031485341	N887	0.0177630982	N513
0.0316666323	N880	0.0414247773	N512
0.0320156653	N879	0.0216498938	N511
0.0507169601	N878	0.0702415723	N510
0.0645412242	N876	0.0320438688	N509
0.1331148368	N848	0.2153452606	N484
0.0304933233	N875	0.0420743937	N508
0.0767440654	N849	0.1060931143	N485
0.0280242284	N874	0.0184410634	N507
0.0197096989	N873	0.0298951159	N506
0.0395806383	N853	0.0960357647	N487
0.0334213388	N855	0.0577562206	N489
0.0376545322	N854	0.0745454175	N488
0.0176998817	N860	0.0147786208	N495
0.0163801182	N859	0.0167821453	N494
0.0276585606	N858	0.0489084597	N492
0.0264848718	N857	0.0213724139	N491
0.0169267982	N871	0.0271790513	N504
0.0198066858	N865	0.0369437308	N503
0.0185765771	N864	0.0205054206	N502
0.0186469895	N863	0.0258576037	N501
0.021413452200000002	N862	0.0230565888	N500
0.018061298899999998	N870	0.0173234141	N499
0.0212122167	N869	0.0353049695	N498
0.0413482222	N866	0.0717641227	N496
0.1229231775	N884	0.1540646972	N482
0.0603469509	N807	0.0374681183	N459
0.032117400399999996	N806	0.0173066172	N458
0.0300231362	N772	0.0210437097	N433
0.0286439201	N771	0.0311110799	N432
0.0314382969	N756	0.0432375596	N418
0.0642001051	N769	0.0369834723	N431
0.0889354273	N760	0.1317779053	N422
0.0261814756	N759	0.0252214376	N421
0.020132846899999998	N758	0.0199973167	N420
0.0245413096	N757	0.0393628376	N419
0.0348136106	N768	0.0296421905	N430
0.0300269448	N762	0.0415645801	N424
0.04679932	N761	0.0454093955	N423
0.0459991745	N767	0.0705056639	N429
0.0664835646	N766	0.0939632889	N428
0.1105807169	N765	0.1520437117	N427
0.0237549062	N764	0.0295480165	N426
0.0295737817	N763	0.0424790559	N425
0.028070302	N805	0.0249642734	N457
0.0312204046	N777	0.0371091935	N437
0.123292303	N776	0.1486188683	N436
0.0541198715	N775	0.0803691609	N435
0.1030785246	N773	0.0803402994	N434
0.0292093325	N804	0.0377997052	N456
0.0435197184	N782	0.0620505169	N441
0.0714908278	N781	0.0957058907	N440
0.0973891418	N779	0.1545584021	N439
0.049950988	N780	0.0692004877	N438
0.0833298357	N802	0.0508415941	N455
0.2375985852	N783	0.2883200276	N442
0.0475223975	N801	0.0374870761	N454
0.0320438732	N784	0.0427091585	N443
0.0705954406	N799	0.064917808	N453
0.0475189036	N797	0.0334949792	N452
0.012895504	N796	0.0150865438	N451
0.0307425243	N789	0.056204545	N445
0.0261479175	N787	0.0289476732	N444
0.0144044502	N794	0.0292630926	N449
0.0353247334	N792	0.0370530695	N448
0.0142008833	N790	0.0158111759	N446
0.0098157034	N791	0.013465283	N447
0.1925387365	N569	0.0746212587	N412
0.0702099015	N568	0.0401732604	N411
0.0798313451	N567	0.0434600543	N410
0.2865994632	N563	0.0550065453	N409
0.0609212975	N534	0.0717734777	N394
0.3442902397	N531	0.3463866142	N393
0.243221562	N527	0.1541710224	N392
0.0415624373	N526	0.0540679588	N391
0.0717062888	N562	0.0980106379	N408
0.3323969783	N536	0.4296561621	N396
0.1216406748	N535	0.1366877993	N395
0.1216736185	N561	0.1804985801	N407
0.2737827248	N559	0.2952334218	N406
0.2255624849	N555	0.0760627275	N405
0.2217786603	N551	0.1586360636	N403
0.0509668869	N550	0.1016068471	N401
0.0794499384	N549	0.1203877724	N400
0.210458562	N542	0.1580896479	N399
0.0697903798	N541	0.1191431364	N398
0.179328259	N539	0.1982596037	N397
0.3926833194	N519	0.5151205512	N390
0.2025343459	N516	0.1554547824	N389
0.1237881699	N515	0.2191785976	N388
0.2276785978	N514	0.2612202517	N387
0.1598653385	N502	0.2112948082	N382
0.3386631718	N501	0.4247109518	N381
0.1631291682	N503	0.0689560161	N383
0.2219536194	N506	0.2599144996	N384
0.17481847350000002	N512	0.2469640511	N380
0.1090803561	N511	0.1229050133	N379
0.1870157065	N510	0.2206742397	N378
1e-06	N509	0.016920933	N377
3.2098e-06	N507	2.7451e-06	N376
0.0022140246	N508	0.0072498745	N375
0.1860085698	N499	0.2369475868	N374
0.2313507369	N498	0.3704334181	N373
0.1962389472	N496	0.3987019882	N372
0.3379580609	N451	0.3687740667	N359
0.5055710946	N495	0.5147544292	N371
0.2674525024	N492	0.1975286653	N370
0.1369581076	N489	0.0907168569	N369
0.0538866701	N488	0.0584791386	N368
0.0985949878	N477	0.1367181276	N360
0.1731594375	N485	0.1808276012	N367
0.0105268735	N479	0.0179194007	N361
0.0105799779	N484	0.0047360329	N366
0.0110493027	N481	0.0179058038	N363
0.0030229195	N480	0.0033546516	N362
0.020029545	N483	0.0371473963	N365
1e-06	N482	2.3421e-06	N364
0	N15766	0	N10572
0.0521349404	N2848	0.1283039034	N2120
0.0889992428	N2847	0.1089196794	N2119
0.1032382531	N2240	0.0448975696	N2118
0.0880254349	N983	0.1381494305	N1230
0.1401222536	N981	0.0820064298	N1229
0.495698837	N977	0.5911816788	N1228
0.0955711201	N951	0.03449561	N1201
0.0633683169	N950	0.0877404482	N1200
0.2650859873	N949	0.4004805238	N1199
1e-06	N948	0.0001982919	N1198
2e-06	N947	2.5029e-06	N1197
0.0016133631	N946	0.0074089724	N1196
0.0020849061	N945	0.0010188382	N1195
0.2135355348	N941	0.3398026632	N1211
0.04378289	N963	0.0401707481	N1225
0.1780953026	N957	0.2500273937	N1215
0.0697217812	N954	0.1088517358	N1212
0.0745965422	N956	0.1395190735	N1214
1e-06	N955	0.0021201741	N1213
0.050973223	N962	0.0852160949	N1224
0.1962691921	N958	0.3063077342	N1216
0.13970373	N961	0.2173833754	N1223
0.0846387712	N960	0.1393822785	N1222
1e-06	N959	0.0011315469	N1221
0.3573903401	N971	0.3622216673	N1210
1e-06	N970	0.0022583952	N1209
2e-06	N969	2.3058e-06	N1208
2e-06	N968	0.0005844169	N1207
2e-06	N967	2.5394e-06	N1206
3e-06	N966	2.7517e-06	N1205
2e-06	N965	2.1311e-06	N1204
0.1328701131	N935	0.1184948549	N1193
0.0591900799	N916	0.053456216	N1176
0.117346851	N914	0.1004279965	N1175
0.3876730928	N908	0.5499984301	N1174
0.0143954233	N907	0.0239817221	N1173
0.4632564441	N910	0.5695466621	N1172
0.07599249179999999	N933	0.0487676645	N1191
0.4032234518	N921	0.6245899945	N1179
1e-06	N920	0.0083138446	N1178
1e-06	N919	0.0025952984	N1177
0.0591717708	N932	0.0614450512	N1190
0.2026856427	N923	0.2908059766	N1181
0.2153892931	N922	0.3244618202	N1180
0.0771396323	N931	0.0544136329	N1189
0.4207698674	N924	0.624125553	N1182
0.1769258594	N930	0.2563199933	N1188
0.0743253785	N929	0.0811868719	N1187
0.1684751918	N925	0.2421224635	N1183
0.1678295888	N928	0.2743788661	N1186
1e-06	N927	0.0001810513	N1185
2e-06	N926	0.0107879631	N1184
0.5238935682	N917	0.6875582855	N1171
0.0854904828	N2239	0.0359127816	N2117
0.4231420682	N1076	0.4870793126	N1269
0.2995624871	N1072	0.2313575973	N1268
0.1824072176	N1069	0.1099607845	N1267
0.0465758034	N1068	0.0637010755	N1266
0.0487238437	N1053	0.0614432133	N1261
0.2027293064	N1056	0.2151335893	N1262
0.0539506495	N1065	0.0714505921	N1260
0.1513958428	N1060	0.185122299	N1259
0.1954785334	N1022	0.1381169215	N1258
0.0569183962	N1021	0.1090449616	N1257
0.1174618617	N1008	0.1566246753	N1256
0.2934008961	N1005	0.2955670881	N1253
0.1839023737	N1003	0.2153700661	N1255
0.0704551288	N1002	0.1257248824	N1254
0.369029423	N999	0.3953319232	N1251
0.1672341669	N995	0.2654853044	N1247
0.0474472866	N994	0.0878900169	N1246
0.1798388851	N998	0.2675547095	N1250
1e-06	N996	0.0002706005	N1248
0.0026284711	N997	0.0052813075	N1249
0.4306809814	N991	0.4924861315	N1244
0.3235572614	N989	0.3386205088	N1243
0.1082921689	N988	0.177659399	N1242
1e-06	N987	0.0029655059	N1241
0.2446236404	N985	0.2424468946	N1239
0.2414197285	N984	0.3293791575	N1238
0.0708443841	N2236	0.0542561151	N2116
0.0575217117	N2235	0.0283271806	N2115
0.071612904	N2234	0.0559386503	N2114
0.1167431552	N2232	0.0471920242	N2113
0.125092007	N1518	0.2057401844	N1665
0.4254516928	N1471	0.6134363389	N1623
1e-06	N1470	0.0064294242	N1622
0.0898955946	N1517	0.0876916447	N1664
0.132483417	N1516	0.1206624954	N1663
0.290452523	N1478	0.4589798973	N1628
1e-06	N1477	0.0001184598	N1627
0.0626593654	N1515	0.0569422463	N1662
0.0657777032	N1484	0.067819551	N1633
0.1372840211	N1479	0.1512162188	N1629
0.3070753902	N1482	0.4225737644	N1632
1e-06	N1481	0.0014389631	N1631
1e-06	N1480	2.7392e-06	N1630
0.0496021013	N1514	0.061382332	N1661
0.0699974343	N1497	0.1107881437	N1646
0.1773303854	N1487	0.3315598695	N1636
1e-06	N1486	0.000196903	N1635
1e-06	N1485	2.1482e-06	N1634
0.0998085462	N1496	0.0690313363	N1645
0.0363311682	N1495	0.0128054256	N1644
0.0402446937	N1494	0.0376063386	N1643
0.1525058915	N1488	0.3122193267	N1637
0.1396858908	N1493	0.2776353582	N1642
1e-06	N1492	0.0037170337	N1641
1e-06	N1491	0.0001862787	N1640
0.0415951258	N1513	0.0503403192	N1660
0.1001820571	N1504	0.1559723385	N1650
0.1089231865	N1500	0.2119762131	N1647
0.1496182599	N1502	0.214454248	N1649
1e-06	N1501	0.0019492857	N1648
0.1232851738	N1511	0.1420547264	N1658
0.0866545366	N1505	0.1869947163	N1652
0.0724803534	N1510	0.180097676	N1657
1e-06	N1509	0.000169286	N1656
1e-06	N1508	2.553e-06	N1655
2e-06	N1507	2.0285e-06	N1654
1e-06	N1506	2.322e-06	N1653
0.2296691188	N1498	0.3837125622	N1651
0.1258697065	N1475	0.0735048815	N1626
0.44594243980000003	N1472	0.5713306646	N1625
0.1771121455	N1473	0.0826939882	N1624
0.0572079829	N1531	0.0712033891	N1548
0.0645437271	N1530	0.0656084981	N1546
0.1006418962	N1529	0.1031435752	N1545
0.1364545501	N1524	0.1647411725	N1541
0.07809794070000001	N1523	0.0821693014	N1540
0.097151961	N1528	0.1385197456	N1544
0.2736021918	N1525	0.3655425774	N1543
0.2921043884	N1526	0.3773922128	N1542
0.0464263988	N2116	0.0159221881	N2109
0.0498547091	N2115	0.0226489941	N2108
0.060757674799999994	N1660	0.0413655449	N1758
0.2681116508	N1559	0.3570711934	N1692
0.2566509149	N1547	0.3689021065	N1677
1e-06	N1546	0.0004692746	N1676
2e-06	N1545	0.0072114087	N1675
1e-06	N1544	0.00273843	N1674
0.107699633	N1558	0.1313599908	N1691
0.0684184337	N1552	0.0525104464	N1682
